date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2020-06-13,S1A_IW_GRDH_1SDH_20200613T095955_20200613T100024_032997_03D276_rtc,2020-06-13T10:00:10.198678Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-24.179,-28.152,-19.886,-10.514,13.665,1,,open_water,2020,2020-06-13,0,8.266
2020-06-17,S1B_IW_GRDH_1SDH_20200617T101540_20200617T101609_022072_029E37_rtc,2020-06-17T10:15:54.580595Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-20.367,-24.771,-15.959,-9.971,10.396,1,,open_water,2020,2020-06-13,4,8.812
2020-06-17,S1A_IW_GRDH_1SDH_20200617T204800_20200617T204825_033062_03D477_rtc,2020-06-17T20:48:12.516215Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.865,-22.187,-15.843,-8.874,9.991,1,,open_water,2020,2020-06-13,4,6.344
2021-02-22,S1A_IW_GRDH_1SDH_20210222T210355_20210222T210428_036708_04506D_rtc,2021-02-22T21:04:11.895667Z,HH,61,ascending,SENTINEL-1A,0.0112,19190,10654,-17.246,-20.766,-13.203,-10.882,6.365,0,valid share 0.011 below 0.98,suspect,2021,2021-02-24,-2,7.563
2021-02-24,S1B_IW_GRDH_1SDH_20210224T101541_20210224T101610_025747_0311D2_rtc,2021-02-24T10:15:56.294076Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-18.896,-24.082,-11.991,-11.188,7.708,1,,suspect,2021,2021-02-24,0,12.091
2021-02-24,S1A_IW_GRDH_1SDH_20210224T204801_20210224T204826_036737_04516E_rtc,2021-02-24T20:48:14.067196Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-19.439,-24.4,-12.375,-10.607,8.831,1,,suspect,2021,2021-02-24,0,12.025
2021-02-26,S1B_IW_GRDH_1SDH_20210226T095936_20210226T100001_025776_0312B8_rtc,2021-02-26T09:59:49.384733Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-22.065,-27.139,-13.883,-12.398,9.666,1,,suspect,2021,2021-02-24,2,13.256
2021-03-10,S1B_IW_GRDH_1SDH_20210310T095926_20210310T095955_025951_031871_rtc,2021-03-10T09:59:41.152656Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-18.653,-23.594,-13.725,-12.57,6.083,1,,suspect,2021,2021-03-12,-2,9.869
2021-03-14,S1B_IW_GRDH_1SDH_20210314T204719_20210314T204744_026016_031AA7_rtc,2021-03-14T20:47:32.180927Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.831,-25.899,-15.085,-10.896,10.935,1,,suspect,2021,2021-03-12,2,10.814
2021-03-14,S1B_IW_GRDH_1SDH_20210314T204719_20210314T204744_026016_031AA7_rtc,2021-03-14T20:47:32.180927Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.831,-25.899,-15.085,-10.896,10.935,1,,suspect,2021,2021-03-14,0,10.814
