date,season,doy,group,s2_ice,s2_share,landsat_id,landsat_cloud,landsat_sun,landsat_ice,landsat_share
2019-06-11,2019,162,"season, ordinary",0.00031962497336458556,0.9030155437298939,LC08_L2SP_013010_20190611_02_T1,0.41,42.15322167,0.00034631035179359904,0.9873451084730429
2019-07-15,2019,196,"july anchor, control",0.0022758082982713692,0.8546361551668248,LC08_L2SP_011010_20190715_02_T1,0.14,40.52823735,0.002043105234207011,0.9971684101424343
2020-03-18,2020,78,"winter, ordinary",1.0,0.9446443996544774,LC08_L2SP_012010_20200318_02_T1,0.71,18.41884487,0.9997862951050894,1.0
2020-04-10,2020,101,"april anchor, control",0.9978015015680932,0.9467979172665323,LC08_L2SP_013010_20200410_02_T1,0.03,27.33030169,0.9996968053990041,0.9985289979733653
2020-05-05,2020,126,"season, ordinary",0.9950998104583865,0.9467704569734362,LC08_L2SP_012010_20200505_02_T1,1.23,35.57474821,0.9987794620326789,0.9950990344100499
2020-05-12,2020,133,"season, ordinary",0.5404721324820025,0.9466086338817552,LC08_L2SP_013010_20200512_02_T1,0.46,37.42850553,0.5256764699479722,0.9816961757509056
2020-05-21,2020,142,"season, ordinary",0.4022378307742568,0.9097089362334454,LC08_L2SP_012010_20200521_02_T1,0.18,39.43295344,0.37184402612370343,0.9271230690872307
2020-06-13,2020,165,"season, ordinary",0.0040990627994187704,0.9467218531111459,LC08_L2SP_013010_20200613_02_T1,6.5,42.31401373,0.00393980968591573,0.9709396960404044
2020-07-01,2020,183,"july anchor, control",0.0003018969189742214,0.7021409392811719,LC08_L2SP_011010_20200701_02_T1,3.47,42.08268226,0.0002108997510629724,0.9457474506786911
2021-03-28,2021,87,"winter, ordinary",0.9937022840307916,0.9467979172665323,LC08_L2SP_013010_20210328_02_T1,1.07,22.27703653,0.9994127315502813,0.9946502541307375
2021-04-29,2021,119,"season, ordinary",0.020110743674536646,0.9462175191777084,LC08_L2SP_013010_20210429_02_T1,3.91,33.73255178,0.007536767572794335,0.9135029437849274
2021-05-15,2021,135,"season, ordinary",0.0024805867126833476,0.9467304931738872,LC08_L2SP_013010_20210515_02_T1,13.14,38.09125964,0.00239654770788176,0.902123158130937
2021-06-09,2021,160,"season, ordinary",0.006940978391795936,0.9018003960871391,LC08_L2SP_012010_20210609_02_T1,1.4,42.04560998,0.006835198944791521,0.9937170760896278
