day,season,doy,scene,sun_elevation,scene_cloud,landsat_ice,landsat_share,kelvin,thermal_cells,frozen_share,celsius,thermal_minus_optical,below_freezing,chain_says_open,contradicted
2015-04-15,2015,105,LC08_L1TP_011010_20150415_20200909_02_T2,28.85597703,60.53,1.0,0.9208900096523378,249.9629566251521,258550,1.0,-23.18704337484789,0.0,True,False,False
2015-05-01,2015,121,LC08_L1TP_011010_20150501_20201015_02_T1,34.17187251,1.2,0.9998504060407466,0.9999964382517514,260.46512105701237,280761,1.0,-12.68487894298761,0.00014959395925340235,True,False,False
2015-05-24,2015,144,LC08_L1TP_012010_20150524_20200909_02_T1,39.85251869,1.99,0.999451416520912,0.9998646535665566,270.22380025089615,280761,0.991701126580971,-2.92619974910383,-0.00775028993994098,True,False,False
2015-06-02,2015,153,LC08_L1TP_011010_20150602_20201015_02_T1,41.26178108,0.11,0.9461331734017596,0.9383283290770442,271.68393100933616,280761,0.00011753769220083986,-1.466068990663814,-0.9460156357095588,False,False,False
2016-02-20,2016,51,LC08_L1TP_012010_20160220_20200907_02_T1,8.01404341,24.36,0.9931273184316992,0.9323267832783044,247.57767423020184,261921,1.0,-25.57232576979814,0.006872681568300787,True,False,False
2016-02-29,2016,60,LC08_L1TP_011010_20160229_20200907_02_T1,11.34917309,1.28,0.883529454230436,0.9867467347672932,265.7421172023269,280761,1.0,-7.407882797673096,0.11647054576956395,True,False,False
2016-03-07,2016,67,LC08_L1TP_012010_20160307_20200907_02_T1,14.05793268,9.77,0.8006267895866627,0.9739849907928808,257.4126903853149,280680,1.0,-15.737309614685103,0.19937321041333733,True,False,False
2016-04-01,2016,92,LC08_L1TP_011010_20160401_20200907_02_T1,23.91135075,52.81,1.0,0.9612161233219714,254.79958533374975,276124,1.0,-18.35041466625023,0.0,True,False,False
2016-04-17,2016,108,LC08_L1TP_011010_20160417_20200907_02_T1,29.8348546,0.76,0.187430795313867,0.9810871168004104,269.673322179411,280761,1.0,-3.476677820588975,0.812569204686133,True,True,True
2016-05-17,2016,138,LC08_L1TP_013010_20160517_20200907_02_T1,38.58967221,17.8,0.0113116088298669,0.993432136229747,273.9877078951106,280761,0.0,0.8377078951106114,-0.0113116088298669,False,True,False
2016-06-02,2016,154,LC08_L1TP_013010_20160602_20200906_02_T1,41.35887893,22.96,0.006977507798391,0.9979519947571066,273.9248052967391,280760,0.0,0.7748052967391459,-0.006977507798391,False,True,False
2016-06-18,2016,170,LC08_L1TP_013010_20160618_20200906_02_T1,42.47144507,28.75,0.0038082275090137,0.983911583161479,276.77037012845824,277453,0.0,3.620370128458262,-0.0038082275090137,False,True,False
2016-06-20,2016,172,LC08_L1TP_011010_20160620_20200906_02_T1,42.48737612,0.09,0.0029230385342031,0.999177236154594,279.2827804328322,280761,0.0,6.132780432832249,-0.0029230385342031,False,True,False
2017-02-15,2017,46,LC08_L1TP_011010_20170215_20200905_02_T1,6.51466558,40.11,1.0,0.96286877450928,247.40872351549956,276440,1.0,-25.741276484500418,0.0,True,False,False
2017-03-01,2017,60,LC08_L1TP_013010_20170301_20200905_02_T1,11.64057422,8.12,0.9632531815542869,0.999992876503503,259.2386468589923,280761,1.0,-13.91135314100768,0.03674681844571315,True,False,False
2017-03-03,2017,62,LC08_L1TP_011010_20170303_20200905_02_T1,12.40551801,39.47,0.9696367379797246,0.9999038327972902,258.13723669668286,280761,1.0,-15.012763303317115,0.030363262020275394,True,False,False
2017-03-10,2017,69,LC08_L1TP_012010_20170310_20200904_02_T1,15.13977467,0.23,0.9798405049134316,1.0,261.1148958963153,280761,1.0,-12.03510410368466,0.020159495086568446,True,False,False
2017-03-17,2017,76,LC08_L1TP_013010_20170317_20200904_02_T1,17.91299994,0.07,0.9874626461652436,1.0,247.96355778405686,280761,1.0,-25.186442215943117,0.012537353834756404,True,False,False
2017-03-26,2017,85,LC08_L1TP_012010_20170326_20200904_02_T1,21.47569107,0.01,0.9936244479270552,0.9999964382517514,252.87139948802997,280761,1.0,-20.278600511970012,0.006375552072944823,True,False,False
2017-04-02,2017,92,LC08_L1TP_013010_20170402_20200904_02_T1,24.20540128,0.02,0.9962708363014674,0.9999964382517514,250.9684808419263,280761,1.0,-22.181519158073684,0.0037291636985326004,True,False,False
2017-04-04,2017,94,LC08_L1TP_011010_20170404_20200904_02_T1,24.96901215,100.0,0.9972182746179136,1.0,251.76259844780859,280761,1.0,-21.387401552191392,0.0027817253820864307,True,False,False
2017-04-11,2017,101,LC08_L1TP_012010_20170411_20200904_02_T1,27.59388796,0.02,0.9985895225747624,0.9999821912587574,263.26770346097527,280761,1.0,-9.882296539024708,0.0014104774252375885,True,False,False
2017-04-20,2017,110,LC08_L1TP_011010_20170420_20200904_02_T1,30.7861985,0.02,0.999985753007006,1.0,259.3978166754493,280761,1.0,-13.752183324550685,1.4246992994015883e-05,True,False,False
2017-05-13,2017,133,LC08_L1TP_012010_20170513_20200904_02_T1,37.60333357,8.2,0.9979963927927284,0.9972717008416412,269.2235870462133,280094,0.994633944318693,-3.9264129537866665,-0.00336244847403544,True,False,False
2018-03-06,2018,65,LC08_L1TP_011010_20180306_20200901_02_T1,13.47256068,3.97,0.9745871435393398,0.9994479290214808,245.55345543452884,280625,1.0,-27.596544565471135,0.02541285646066016,True,False,False
2018-03-22,2018,81,LC08_L1TP_011010_20180322_20200901_02_T1,19.79764793,0.03,1.0,0.9732299001641966,251.05887353665796,280761,1.0,-22.09112646334202,0.0,True,False,False
2018-04-05,2018,95,LC08_L1TP_013010_20180405_20200901_02_T1,25.25886483,16.39,0.9975472283323648,0.9990668219588904,258.57030593919797,280547,1.0,-14.579694060802012,0.002452771667635245,True,False,False
2018-04-07,2018,97,LC08_L1TP_011010_20180407_20200901_02_T1,26.01276895,43.32,0.998062395150289,0.999992876503503,259.4084170402429,280761,1.0,-13.741582959757068,0.00193760484971095,True,False,False
2018-04-14,2018,104,LC08_L1TP_012010_20180414_20200901_02_T1,28.59541632,33.27,0.9999494446129624,0.986333571970466,260.9000233599808,276927,1.0,-12.249976640019156,5.055538703757634e-05,True,False,False
2018-04-21,2018,111,LC08_L1TP_013010_20180421_20201016_02_T1,31.0472419,35.93,0.9994550466950184,0.9999893147552544,266.34986328881604,280761,0.9999893147552544,-6.800136711183939,0.0005342680602360428,True,False,False
2018-04-23,2018,113,LC08_L1TP_011010_20180423_20201015_02_T1,31.71592572,100.0,0.9996936852865644,0.999985753007006,264.14050888229826,280761,0.999992876503503,-9.009491117701714,0.00029919121693855466,True,False,False
2018-04-30,2018,120,LC08_L1TP_012010_20180430_20200901_02_T1,33.95144875,0.36,0.99979341639419,0.9999893147552544,262.4199654088691,280761,1.0,-10.730034591130902,0.0002065836058100512,True,False,False
2018-05-07,2018,127,LC08_L1TP_013010_20180507_20200901_02_T1,35.98412407,12.28,0.9998788992655596,0.9999893147552544,262.20157538773344,280761,1.0,-10.948424612266535,0.0001211007344403825,True,False,False
2018-05-09,2018,129,LC08_L1TP_011010_20180509_20200901_02_T1,36.52125315,100.0,0.9999145171286304,0.9999893147552544,263.4194040284792,280761,1.0,-9.730595971520756,8.548287136955768e-05,True,False,False
2018-05-10,2018,130,LC08_L1TP_082234_20180510_20201015_02_T1,5.26437835,0.78,0.993549559047714,0.9999821912587574,254.80706854537377,280761,1.0,-18.34293145462621,0.006450440952285974,True,False,False
2018-05-16,2018,136,LC08_L1TP_012010_20180516_20200901_02_T1,38.25174334,0.23,0.9968976178264092,0.9999679442657634,269.97399581339437,280761,0.994276270564644,-3.17600418660561,-0.0026213472617652167,True,False,False
2018-05-23,2018,143,LC08_L1TP_013010_20180523_20200901_02_T1,39.7153394,16.26,0.9634084171969112,0.9432043624292548,270.6593192420429,280739,0.9830269396129501,-2.4906807579570795,0.019618522416038897,True,False,False
2018-05-25,2018,145,LC08_L1TP_011010_20180525_20201015_02_T1,40.07926196,32.21,0.980975178109543,0.9418829538290574,269.51318326668166,276931,0.9948579248982599,-3.6368167333183123,0.013882746788716815,True,False,False
2018-06-10,2018,161,LC08_L1TP_011010_20180610_20200831_02_T1,42.09420649,1.6,0.0024432669761471,0.9767132899512396,272.7671096972236,274671,0.04077241499830707,-0.3828903027763886,0.03832914802215997,False,True,False
2018-06-27,2018,178,LC08_L1TP_082234_20180627_20200831_02_T1,11.00287076,0.1,0.0080168264080332,0.99741773251983,275.5645486124764,280761,0.0,2.4145486124764375,-0.0080168264080332,False,True,False
2019-02-28,2019,59,LC08_L1TP_012010_20190228_20200829_02_T1,11.07297858,0.23,0.9587302379823038,0.9987106471340392,253.93799629347504,280399,1.0,-19.21200370652494,0.041269762017696165,True,False,False
2019-03-09,2019,68,LC08_L1TP_011010_20190309_20200829_02_T1,14.55436246,0.64,0.9785688844564752,0.9999964382517514,255.26592369879077,280761,1.0,-17.884076301209205,0.021431115543524837,True,False,False
2019-03-16,2019,75,LC08_L1TP_012010_20190316_20200829_02_T1,17.32422825,2.96,0.9956760376263084,1.0,247.85702726141182,280761,1.0,-25.292972738588162,0.004323962373691592,True,False,False
2019-05-03,2019,123,LC08_L1TP_012010_20190503_20200829_02_T1,34.78227512,0.59,0.369804943615121,0.999009833986914,271.50882715880687,280761,0.03693889108530031,-1.6411728411931108,-0.3328660525298207,False,True,False
2019-05-10,2019,130,LC08_L1TP_013010_20190510_20200829_02_T1,36.72859562,18.12,0.94998183007486,0.980121883025064,271.2347532380022,280761,0.7237899850762748,-1.9152467619977642,-0.22619184499858525,True,False,False
