import time: self [us] | cumulative | imported package
import time:       965 |       1713 |               multiprocessing.context
import time:       231 |       1943 |             multiprocessing
import time:       383 |       2326 |           torch.cuda.tunable
import time:   2914526 |    2956558 |         torch.cuda
import time:       269 |        269 |             torch.sparse._semi_structured_conversions
import time:       266 |        266 |             torch.sparse._semi_structured_ops
import time:       563 |       1097 |           torch.sparse.semi_structured
import time:       428 |       1524 |         torch.sparse
import time:       439 |        439 |         torch._compile
import time:       296 |        296 |         torch._VF
import time:       418 |        418 |               torch.nn.parameter
import time:       960 |        960 |                   torch._prims_common
import time:       372 |        372 |                       torch.utils.backcompat
import time:       771 |        771 |                         locale
import time:       465 |       1235 |                       torch.utils.collect_env
import time:       979 |        979 |                             _queue
import time:       341 |       1319 |                           queue
import time:       257 |        257 |                               cmd
import time:       384 |        384 |                               bdb
import time:       263 |        263 |                                 codeop
import time:       166 |        428 |                               code
import time:       330 |        330 |                               pprint
import time:       542 |       1939 |                             pdb
import time:       252 |        252 |                               torch.utils._typing_utils
import time:      2012 |       2012 |                                   _hashlib
import time:       778 |        778 |                                   _blake2
import time:       343 |       3132 |                                 hashlib
import time:       264 |        264 |                                 torch.monitor
import time:       217 |        217 |                                   torch.distributed.logging_handlers
import time:       353 |        570 |                                 torch.distributed.c10d_logger
import time:       184 |        184 |                                 torch.distributed.constants
import time:       196 |        196 |                                     urllib
import time:       861 |        861 |                                     ipaddress
import time:       793 |       1850 |                                   urllib.parse
import time:       261 |       2111 |                                 torch.distributed.rendezvous
import time:      1132 |       7390 |                               torch.distributed.distributed_c10d
import time:       589 |       8230 |                             torch.distributed.device_mesh
import time:       217 |        217 |                             torch.distributed.remote_device
import time:      2813 |      13197 |                           torch.distributed
import time:       321 |        321 |                                           torch.utils.data.datapipes._hook_iterator
import time:       454 |        774 |                                         torch.utils.data.datapipes._typing
import time:       254 |        254 |                                           torch.utils._import_utils
import time:       228 |        228 |                                             torch.utils.data.datapipes.utils
import time:       423 |        651 |                                           torch.utils.data.datapipes.utils.common
import time:       598 |        598 |                                           torch.utils.data.dataset
import time:       266 |        266 |                                             dill.__info__
import time:       374 |        374 |                                               dill.logger
import time:       685 |        685 |                                               _pyio
import time:       270 |        270 |                                               dill._shims
import time:       213 |        213 |                                               dill.settings
import time:        50 |         50 |                                               winreg
import time:      1217 |       2807 |                                             dill._dill
import time:        42 |         42 |                                                   _winapi
import time:        38 |         38 |                                                   nt
import time:        36 |         36 |                                                   nt
import time:        36 |         36 |                                                   nt
import time:        36 |         36 |                                                   nt
import time:       333 |        518 |                                                 ntpath
import time:       606 |       1123 |                                               pathlib
import time:       827 |       1950 |                                             dill.session
import time:       208 |        208 |                                               dill.pointers
import time:       256 |        463 |                                             dill.detect
import time:       278 |        278 |                                             dill.source
import time:       231 |        231 |                                             dill.temp
import time:       209 |        209 |                                             dill.objtypes
import time:       339 |       6540 |                                           dill
import time:       485 |       8526 |                                         torch.utils.data.datapipes.datapipe
import time:       269 |       9568 |                                       torch.utils.data.datapipes._decorator
